Amanda Smith Nguyen
Date,Owner's Name,Dog's Name,Class/Program,Price ($),Discount ($),Sales ($),Trainer Commission (%),Trainer Share ($)
07/02/2026,Jeffrey Thomashow,JoJo,Fun & Fit Agility,$55.00,$0.00,$55.00,50.00%,$27.50
07/02/2026,Stacy Shirk,"Brontë, Pup",Fun & Fit Agility,$45.83,$0.00,$45.83,50.00%,$22.91
07/02/2026,Chris Parker,Milo,Fun & Fit Agility,$55.00,$0.00,$55.00,50.00%,$27.50
07/03/2026,Dana Wells,Luna,Cool Tricks,$60.00,$0.00,$60.00,50.00%,$30.00
07/03/2026,Evan Brooks,Bear,Cool Tricks,$60.00,$0.00,$60.00,50.00%,$30.00
07/03/2026,Fiona Hart,Coco,Trail Foundations,$50.00,$0.00,$50.00,50.00%,$25.00
07/04/2026,Grace Lee,Nala,Foundations & Focus,$75.00,$0.00,$75.00,50.00%,$37.50
07/04/2026,Henry Quinn,Ziggy,Foundations & Focus,$75.00,$0.00,$75.00,50.00%,$37.50
07/04/2026,Ivy Stone,Pepper,Fun & Fit Agility,$55.00,$0.00,$55.00,50.00%,$27.50
07/05/2026,Jake Ortiz,Rocky,Cool Tricks,$60.00,$0.00,$60.00,50.00%,$30.00
07/05/2026,Kara Nguyen,Bella,Cool Tricks,$60.00,$0.00,$60.00,50.00%,$30.00
07/05/2026,Leo Diaz,Scout,Trail Foundations,$50.00,$0.00,$50.00,50.00%,$25.00
07/06/2026,Mia Chen,Olive,Fun & Fit Agility,$55.00,$0.00,$55.00,50.00%,$27.50
07/06/2026,Noah Patel,Finn,Fun & Fit Agility,$55.00,$0.00,$55.00,50.00%,$27.50
07/06/2026,Victoria Gold,Atlas,Foundations & Focus,$0.00,$0.00,$0.00,50.00%,$0.00
07/07/2026,Owen Blake,Daisy,Cool Tricks,$60.00,$0.00,$60.00,50.00%,$30.00
07/07/2026,Paula Reed,Gus,Cool Tricks,$60.00,$0.00,$60.00,50.00%,$30.00
07/08/2026,Quinn Hayes,Maple,Trail Foundations,$50.00,$0.00,$50.00,50.00%,$25.00
07/08/2026,Rita Gomez,Ace,Foundations & Focus,$75.00,$0.00,$75.00,50.00%,$37.50
07/09/2026,Sam Rivera,Ruby,Fun & Fit Agility,$55.00,$0.00,$55.00,50.00%,$27.50
07/09/2026,Tina Brooks,Theo,Fun & Fit Agility,$55.00,$0.00,$55.00,50.00%,$27.50
Total Due,,,,,,,,$630.91
